;;;;;;;;
;;;;;;;;
;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;09:23:14;09:25:54;09:31:56;09:34:22;09:45:08;09:47:48;09:49:18;09:49:34
T_int [ms];5,00;16,00;12,00;5,00;5,00;40,00;25,00;13,00
;;;;;;;;
Lv [cd/sqm];6,180E+03;6,464E+02;1,661E+03;3,565E+03;3,406E+03;2,780E+02;7,366E+02;1,636E+03
Le [W/(sr*sqm)] (380-780nm);2,740E+01;4,864E+00;9,095E+00;1,384E+01;1,473E+01;1,967E+00;4,040E+00;6,512E+00
CCT [K];5337;0;3124;3022;4525;23208;2783;2885
DWl [nm];564,9;472,2;589,6;577,9;575,3;472,6;587,8;578,8
PE [%];3,9;44,9;32,5;80,2;18,6;33,2;45,7;83,9
;;;;;;;;
Chrom. Coord.;;;;;;;;
x;0,3363;0,2367;0,4113;0,4660;0,3608;0,2615;0,4380;0,4770
y;0,3434;0,2145;0,3636;0,4674;0,3677;0,2464;0,3807;0,4685
u';0,2086;0,1856;0,2516;0,2428;0,2157;0,1925;0,2618;0,2488
v';0,4793;0,3785;0,5003;0,5479;0,4946;0,4081;0,5120;0,5499
;;;;;;;;
CIE XYZ;;;;;;;;
X;6051;713;1879;3555;3342;295,0;847,4;1666
Y;6180;646;1661;3565;3406;278,0;736,6;1636
Z;5764;1653;1028;509;2515;555,0;350,6;190
;;;;;;;;
CIE 13.3-1995 CRI;;;;;;;;
Ref. Illum.;Daylight 5000-7000K;CRI not calculated!;Planckian radiator;Planckian radiator;Planckian radiator;Daylight >7000K;Planckian radiator;Planckian radiator
CCT [K];5337;0;3124;3022;4525;23208;2783;2885
R1;94,6;0,0;73,3;82,1;98,8;66,9;79,5;80,9
R2;95,1;0,0;76,1;83,2;98,3;74,1;81,0;82,2
R3;95,5;0,0;78,0;85,7;98,0;82,7;81,9;84,1
R4;94,7;0,0;73,7;83,8;97,1;72,5;79,2;81,7
R5;94,1;0,0;67,3;79,3;98,3;73,1;73,8;77,3
R6;92,5;0,0;60,3;77,9;97,6;76,0;66,6;75,3
R7;97,3;0,0;92,5;93,2;96,2;84,5;92,9;92,5
R8;98,5;0,0;85,6;78,1;95,9;66,1;91,3;78,1
R9;96,9;0,0;56,7;36,7;93,4;-25,8;72,7;37,3
R10;88,0;0,0;41,3;62,0;96,2;40,4;53,6;58,9
R11;90,5;0,0;58,1;79,9;97,8;70,8;65,2;76,4
R12;90,4;0,0;32,0;52,9;89,5;71,6;42,9;47,1
R13;93,9;0,0;70,8;81,3;98,1;66,8;76,9;79,9
R14;97,3;0,0;87,6;92,0;98,7;89,1;89,9;90,9
R15;96,8;0,0;77,2;74,4;97,1;59,1;84,3;74,3
Ra;95,30;0,00;75,86;82,90;97,54;74,48;80,78;81,51
DC;3,6E-03;0,0E+00;1,3E-02;1,9E-02;2,0E-03;1,4E-02;9,6E-03;1,8E-02
;;;;;;;;
PAR;;;;;;;;
Begin [nm];400;400;400;400;400;400;400;400
End [nm];700;700;700;700;700;700;700;700
Ephot (Begin..End) [umol/s sqm];1,06674E+02;1,54794E+01;3,33785E+01;5,37224E+01;5,76189E+01;6,19039E+00;1,48836E+01;2,52839E+01
;;;;;;;;
Circadian;;;;;;;;
Lec [W/sr*sqm];7,456;1,864;1,486;1,137;3,374;0,642;0,531;0,451
acv;0,824;1,969;0,611;0,218;0,676;1,577;0,492;0,188
CCT [K];5337;0;3124;3022;4525;23208;2783;2885
;;;;;;;;
LED Values;;;;;;;;
Peak WL [nm];501,0;805,0;806,0;806,0;593,0;804,0;804,0;804,0
Peak FWHM [nm];260,3;29,9;31,2;30,3;253,7;26,4;26,7;26,3
Centroid WL [nm];654,3;729,6;730,4;721,1;662,7;742,9;732,9;719,3
;;;;;;;;
RGB Values;;;;;;;;
RGB Space;manual;manual;manual;manual;manual;manual;manual;manual
R;6070,6;331,0;2476,4;4979,8;3673,9;188,0;1181,1;2387,2
G;6209,6;701,2;1493,0;3300,0;3359,9;293,8;645,4;1492,8
B;5758,1;1662,6;1023,1;479,8;2505,2;557,6;347,5;176,8
;;;;;;;;
Ratio Values;;;;;;;;
Wavelength Range Dividend [nm];380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400
Wavelength Range Divisor [nm];400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420
Ratio Value;0,8763;0,5150;0,6296;0,8656;1,0319;0,6353;0,7834;1,0600
;;;;;;;;
;;;;;;;;
