;;;;
;;;;
;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow
Correction;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;09:23:14;09:25:54;09:31:56;09:34:22
T_int [ms];5,00;16,00;12,00;5,00
;;;;
Lv [cd/sqm];6,180E+03;6,464E+02;1,661E+03;3,565E+03
Le [W/(sr*sqm)] (380-780nm);2,740E+01;4,864E+00;9,095E+00;1,384E+01
CCT [K];5337;0;3124;3022
DWl [nm];564,9;472,2;589,6;577,9
PE [%];3,9;44,9;32,5;80,2
;;;;
Chrom. Coord.;;;;
x;0,3363;0,2367;0,4113;0,4660
y;0,3434;0,2145;0,3636;0,4674
u';0,2086;0,1856;0,2516;0,2428
v';0,4793;0,3785;0,5003;0,5479
;;;;
CIE XYZ;;;;
X;6051;713;1879;3555
Y;6180;646;1661;3565
Z;5764;1653;1028;509
;;;;
CIE 13.3-1995 CRI;;;;
Ref. Illum.;Daylight 5000-7000K;CRI not calculated!;Planckian radiator;Planckian radiator
CCT [K];5337;0;3124;3022
R1;94,6;0,0;73,3;82,1
R2;95,1;0,0;76,1;83,2
R3;95,5;0,0;78,0;85,7
R4;94,7;0,0;73,7;83,8
R5;94,1;0,0;67,3;79,3
R6;92,5;0,0;60,3;77,9
R7;97,3;0,0;92,5;93,2
R8;98,5;0,0;85,6;78,1
R9;96,9;0,0;56,7;36,7
R10;88,0;0,0;41,3;62,0
R11;90,5;0,0;58,1;79,9
R12;90,4;0,0;32,0;52,9
R13;93,9;0,0;70,8;81,3
R14;97,3;0,0;87,6;92,0
R15;96,8;0,0;77,2;74,4
Ra;95,30;0,00;75,86;82,90
DC;3,6E-03;0,0E+00;1,3E-02;1,9E-02
;;;;
PAR;;;;
Begin [nm];400;400;400;400
End [nm];700;700;700;700
Ephot (Begin..End) [umol/s sqm];1,06674E+02;1,54794E+01;3,33785E+01;5,37224E+01
;;;;
Circadian;;;;
Lec [W/sr*sqm];7,456;1,864;1,486;1,137
acv;0,824;1,969;0,611;0,218
CCT [K];5337;0;3124;3022
;;;;
LED Values;;;;
Peak WL [nm];501,0;805,0;806,0;806,0
Peak FWHM [nm];260,3;29,9;31,2;30,3
Centroid WL [nm];654,3;729,6;730,4;721,1
;;;;
RGB Values;;;;
RGB Space;manual;manual;manual;manual
R;6070,6;331,0;2476,4;4979,8
G;6209,6;701,2;1493,0;3300,0
B;5758,1;1662,6;1023,1;479,8
;;;;
Ratio Values;;;;
Wavelength Range Dividend [nm];380 - 400;380 - 400;380 - 400;380 - 400
Wavelength Range Divisor [nm];400 - 420;400 - 420;400 - 420;400 - 420
Ratio Value;0,8763;0,5150;0,6296;0,8656
;;;;
;;;;
Wavelength [nm];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)]
300;7,51697E-05;-3,06294E-05;3,95490E-05;9,24876E-05
301;6,89075E-05;-5,70744E-05;3,25388E-05;-1,34548E-04
302;6,87730E-05;1,60015E-05;9,49496E-05;-2,16182E-05
303;-7,95910E-05;3,78830E-05;-5,35295E-05;1,53543E-05
304;2,63189E-04;-3,56977E-05;9,95623E-05;-4,37887E-05
305;-1,86428E-05;7,31603E-05;-5,36904E-05;1,34581E-04
306;9,52772E-05;2,39316E-05;-1,32785E-05;1,35297E-04
307;-7,71726E-05;-3,99351E-05;-5,42162E-05;4,03779E-05
308;6,68317E-05;2,83462E-05;-4,96839E-05;-2,06704E-04
309;-3,59284E-05;6,63142E-05;3,24317E-05;1,51956E-04
310;2,55949E-05;-8,83945E-06;1,04068E-05;1,29050E-04
311;1,38250E-04;1,30713E-06;-4,88547E-06;8,85650E-05
312;1,65049E-04;6,05436E-06;9,84183E-06;4,33272E-05
313;2,05470E-04;-2,97572E-05;-2,48670E-05;1,04972E-04
314;1,20720E-04;1,49688E-05;-3,13852E-05;-2,47307E-05
315;5,85715E-05;3,01943E-05;5,57448E-05;1,33238E-04
316;2,21237E-04;2,83264E-05;-4,18965E-05;3,24330E-05
317;-1,84385E-04;2,66278E-05;3,73948E-05;8,67851E-05
318;2,39538E-04;2,08024E-05;6,69599E-05;-3,34120E-05
319;-4,25367E-05;3,25130E-05;-5,74370E-06;-4,76947E-05
320;-7,47534E-05;2,65324E-05;-1,24787E-05;-8,69614E-06
321;8,68974E-05;7,34662E-05;-8,88781E-05;-2,89705E-04
322;1,46488E-05;-7,66731E-05;3,60971E-05;-2,01291E-04
323;4,46606E-05;1,22586E-05;1,68676E-05;1,49165E-05
324;1,85844E-04;2,83136E-05;6,36949E-05;4,04027E-05
325;-4,95566E-05;-2,16161E-05;-7,43817E-05;-9,27360E-05
326;-8,17535E-05;-2,45285E-05;7,03442E-05;4,56301E-05
327;2,61635E-05;3,83299E-06;-5,60618E-05;-1,64772E-04
328;1,87983E-05;2,70990E-05;6,85061E-06;3,39595E-05
329;-7,97200E-05;2,00253E-05;-5,26441E-06;9,25200E-06
330;-7,70792E-05;7,49307E-05;4,44738E-05;-4,64230E-05
331;2,44117E-04;3,28924E-05;-1,04894E-05;2,12843E-04
332;6,90244E-05;6,00593E-05;1,12557E-06;-1,22411E-04
333;-1,24385E-04;1,88238E-05;1,25017E-04;-8,80420E-05
334;-4,10106E-06;4,33955E-07;-3,91879E-05;1,50151E-04
335;8,82443E-05;-5,90222E-05;-6,17675E-05;-3,79571E-05
336;6,78508E-05;7,95133E-05;9,11000E-05;2,19037E-04
337;1,70397E-04;6,31432E-05;2,39474E-05;6,66814E-05
338;7,11698E-05;1,02169E-05;-1,54012E-05;5,95171E-05
339;9,39182E-05;3,38784E-05;4,65783E-05;-1,78074E-05
340;2,35046E-05;4,77962E-06;-8,50932E-05;-1,86727E-05
341;2,53896E-04;-5,31329E-05;2,50761E-05;-1,00912E-04
342;2,16924E-04;-3,81990E-06;1,51135E-05;2,42328E-04
343;1,80067E-04;-2,90585E-06;-6,10041E-06;-2,18823E-05
344;1,16428E-04;2,42008E-05;9,33258E-06;1,49147E-04
345;2,23814E-04;8,13913E-05;2,40465E-05;2,16530E-04
346;2,10648E-04;3,16280E-06;6,76856E-05;2,20192E-04
347;2,04736E-04;7,30087E-05;6,99209E-05;-6,25123E-05
348;2,61015E-04;3,11710E-05;3,53662E-05;-1,70919E-04
349;9,66529E-05;4,61796E-05;9,76222E-05;9,51390E-05
350;8,79655E-05;2,82527E-05;6,70334E-06;-1,97329E-05
351;3,31783E-04;1,31641E-05;4,93918E-05;-1,00921E-04
352;2,40343E-04;8,16035E-05;4,10030E-06;-7,59643E-05
353;2,90289E-04;1,22977E-06;9,47148E-05;1,55025E-06
354;2,54226E-04;-1,20624E-05;1,26435E-05;-8,79598E-05
355;8,25421E-05;7,17441E-05;6,60732E-05;-4,82204E-05
356;2,74162E-04;-2,22896E-05;-3,10053E-06;1,16961E-04
357;4,32056E-04;4,16468E-05;2,44956E-05;-8,73420E-05
358;1,72640E-04;3,26938E-05;-2,33687E-05;1,36543E-04
359;5,79598E-05;6,41212E-05;6,37264E-05;-8,67432E-05
360;2,24928E-04;4,71424E-05;-2,96042E-06;3,13772E-05
361;1,32296E-04;6,18471E-05;-4,66174E-05;1,03041E-04
362;2,37958E-04;6,24357E-05;1,07764E-04;1,04825E-04
363;1,31777E-04;7,40011E-05;1,87221E-05;1,72675E-04
364;-2,85735E-05;8,09378E-05;1,32926E-06;-7,29118E-06
365;2,64831E-04;3,91362E-05;-1,41076E-05;-9,59448E-05
366;2,02641E-04;3,94613E-05;2,44069E-05;3,47031E-05
367;4,79395E-04;4,40345E-05;3,16226E-06;-3,82711E-05
368;1,45236E-04;5,59538E-05;9,62386E-05;-4,28633E-05
369;4,82666E-04;5,31212E-05;2,68179E-05;-2,00695E-05
370;7,25106E-04;5,81608E-05;3,71474E-05;-5,99387E-05
371;8,64998E-04;8,06214E-05;1,40073E-04;-1,54881E-04
372;8,78588E-04;1,13421E-04;1,59037E-05;1,56682E-05
373;1,21883E-03;8,28683E-05;1,08344E-04;1,10164E-04
374;1,85604E-03;1,42619E-04;1,10411E-04;5,69911E-05
375;2,05310E-03;1,74662E-04;1,88766E-04;6,30020E-05
376;3,13336E-03;2,01771E-04;2,30438E-04;3,35836E-04
377;4,14600E-03;3,75557E-04;2,92766E-04;1,31281E-04
378;6,21831E-03;4,66632E-04;4,55206E-04;3,95363E-04
379;8,49429E-03;6,40639E-04;5,29657E-04;4,58010E-04
380;1,16168E-02;8,82504E-04;7,21130E-04;5,46188E-04
381;1,52934E-02;1,21588E-03;1,05696E-03;7,22326E-04
382;1,99185E-02;1,61394E-03;1,33619E-03;1,12767E-03
383;2,39539E-02;2,00880E-03;1,77561E-03;1,38634E-03
384;2,75520E-02;2,45510E-03;1,97993E-03;1,52089E-03
385;3,09465E-02;2,74661E-03;2,29295E-03;1,85658E-03
386;3,30011E-02;2,88756E-03;2,56257E-03;1,76128E-03
387;3,26284E-02;3,19012E-03;2,50380E-03;2,09029E-03
388;3,24892E-02;3,26330E-03;2,75600E-03;2,12849E-03
389;3,20547E-02;3,24904E-03;2,71453E-03;1,80318E-03
390;3,08188E-02;3,28994E-03;2,91059E-03;1,91673E-03
391;3,12217E-02;3,40244E-03;2,92962E-03;1,81792E-03
392;3,11334E-02;3,54717E-03;3,06949E-03;2,03886E-03
393;3,23300E-02;3,81844E-03;3,28582E-03;1,86611E-03
394;3,42682E-02;4,16440E-03;3,50406E-03;1,99175E-03
395;3,51574E-02;4,49718E-03;3,84844E-03;2,00275E-03
396;3,61808E-02;4,92908E-03;4,04270E-03;2,16927E-03
397;3,79024E-02;5,26083E-03;4,30363E-03;2,26077E-03
398;3,97725E-02;5,88966E-03;4,59183E-03;2,45776E-03
399;4,10287E-02;6,21412E-03;4,86451E-03;2,42078E-03
400;4,23220E-02;6,55388E-03;5,05631E-03;2,68145E-03
401;4,34120E-02;7,00074E-03;5,27573E-03;2,45932E-03
402;4,57340E-02;7,34700E-03;5,71187E-03;2,58982E-03
403;4,61549E-02;7,79803E-03;5,82804E-03;2,65075E-03
404;4,53701E-02;7,90159E-03;5,91305E-03;2,67086E-03
405;4,59122E-02;7,98943E-03;5,76072E-03;2,63989E-03
406;4,34497E-02;7,74966E-03;5,71902E-03;2,56729E-03
407;4,08704E-02;7,53130E-03;5,44147E-03;2,60474E-03
408;3,84509E-02;7,24571E-03;5,00604E-03;2,41785E-03
409;3,57319E-02;6,90794E-03;4,71443E-03;2,12913E-03
410;3,26497E-02;6,32493E-03;4,46168E-03;2,06867E-03
411;3,00898E-02;6,07981E-03;4,16658E-03;1,92072E-03
412;2,86920E-02;5,88016E-03;3,86796E-03;1,77612E-03
413;2,77114E-02;5,87335E-03;3,71849E-03;1,80683E-03
414;2,72068E-02;5,82380E-03;3,58860E-03;1,65446E-03
415;2,67956E-02;6,03612E-03;3,80725E-03;1,68538E-03
416;2,73632E-02;6,19224E-03;3,73174E-03;1,57073E-03
417;2,84540E-02;6,57284E-03;3,97688E-03;1,58039E-03
418;2,95946E-02;7,09604E-03;4,12911E-03;1,71119E-03
419;3,11202E-02;7,69995E-03;4,34818E-03;1,84130E-03
420;3,36949E-02;8,46882E-03;4,71453E-03;2,00826E-03
421;3,62854E-02;9,16930E-03;5,19332E-03;2,22231E-03
422;4,01501E-02;1,03179E-02;5,60106E-03;2,47047E-03
423;4,39448E-02;1,15735E-02;6,19886E-03;2,35699E-03
424;4,71541E-02;1,26435E-02;6,73152E-03;2,80541E-03
425;5,25638E-02;1,38817E-02;7,34647E-03;2,99857E-03
426;5,56765E-02;1,50169E-02;8,05961E-03;3,25978E-03
427;5,91874E-02;1,63073E-02;8,50787E-03;3,53871E-03
428;6,14794E-02;1,71958E-02;8,91272E-03;3,65814E-03
429;6,27762E-02;1,76831E-02;9,05218E-03;3,70019E-03
430;6,44040E-02;1,80132E-02;9,44048E-03;3,68673E-03
431;6,47147E-02;1,84625E-02;9,15294E-03;4,05225E-03
432;6,40669E-02;1,85316E-02;9,37220E-03;3,92380E-03
433;6,44927E-02;1,86811E-02;9,31734E-03;3,74811E-03
434;6,44339E-02;1,91941E-02;9,54522E-03;3,80766E-03
435;6,59986E-02;1,95009E-02;9,78173E-03;4,14990E-03
436;6,77214E-02;2,00273E-02;9,88977E-03;4,03141E-03
437;6,99395E-02;2,09800E-02;1,02439E-02;4,25395E-03
438;7,29510E-02;2,19412E-02;1,06966E-02;4,64338E-03
439;7,60260E-02;2,30732E-02;1,10912E-02;4,77502E-03
440;7,98408E-02;2,43477E-02;1,17017E-02;4,85190E-03
441;8,34541E-02;2,55526E-02;1,22526E-02;5,14565E-03
442;8,72361E-02;2,66454E-02;1,30689E-02;5,33700E-03
443;8,93219E-02;2,74857E-02;1,32605E-02;5,50648E-03
444;9,11449E-02;2,82662E-02;1,36793E-02;6,00477E-03
445;9,25332E-02;2,87488E-02;1,39769E-02;5,95266E-03
446;9,27128E-02;2,91394E-02;1,41558E-02;6,01286E-03
447;9,20483E-02;2,90865E-02;1,41375E-02;5,66452E-03
448;9,22025E-02;2,88961E-02;1,44193E-02;5,93183E-03
449;9,15183E-02;2,90307E-02;1,43791E-02;5,70048E-03
450;8,94568E-02;2,85549E-02;1,43517E-02;5,91843E-03
451;8,85999E-02;2,85318E-02;1,44796E-02;5,54337E-03
452;8,83282E-02;2,81856E-02;1,43250E-02;5,77764E-03
453;8,68831E-02;2,79850E-02;1,44561E-02;5,87765E-03
454;8,62933E-02;2,77585E-02;1,45105E-02;5,75857E-03
455;8,58095E-02;2,77577E-02;1,46583E-02;5,61938E-03
456;8,57692E-02;2,74406E-02;1,45268E-02;5,66378E-03
457;8,50437E-02;2,71462E-02;1,46285E-02;5,74422E-03
458;8,40495E-02;2,67695E-02;1,46066E-02;5,64252E-03
459;8,39357E-02;2,66611E-02;1,44931E-02;5,64600E-03
460;8,36133E-02;2,66277E-02;1,49317E-02;5,82560E-03
461;8,43049E-02;2,67634E-02;1,51329E-02;5,77603E-03
462;8,47061E-02;2,66521E-02;1,54008E-02;6,10571E-03
463;8,65517E-02;2,71245E-02;1,56352E-02;6,15358E-03
464;8,82630E-02;2,75257E-02;1,62832E-02;6,20860E-03
465;9,16992E-02;2,80801E-02;1,66940E-02;6,93883E-03
