;;;;
;;;;
;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune
Correction;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;11:40:26;11:41:57;11:43:45;11:44:28
T_int [ms];10,00;50,00;50,00;22,00
;;;;
Lv [cd/sqm];2,473E+03;2,054E+02;5,883E+02;1,031E+03
Le [W/(sr*sqm)] (380-780nm);1,027E+01;1,460E+00;1,875E+00;3,823E+00
CCT [K];5010;0;4114;2956
DWl [nm];568,6;475,2;569,0;578,2
PE [%];12,4;43,0;69,0;83,9
;;;;
Chrom. Coord.;;;;
x;0,3458;0,2369;0,4049;0,4734
y;0,3620;0,2282;0,4910;0,4723
u';0,2079;0,1799;0,2004;0,2453
v';0,4897;0,3901;0,5468;0,5505
;;;;
CIE XYZ;;;;
X;2362;213,2;485,1;1033
Y;2473;205,4;588,3;1031
Z;1996;481,4;124,7;119
;;;;
CIE 13.3-1995 CRI;;;;
Ref. Illum.;Daylight 5000-7000K;CRI not calculated!;Planckian radiator;Planckian radiator
CCT [K];5010;0;4114;2956
R1;97,7;0,0;67,6;81,4
R2;95,3;0,0;74,9;82,4
R3;91,5;0,0;84,3;84,6
R4;95,4;0,0;62,1;79,5
R5;96,6;0,0;66,4;78,4
R6;92,3;0,0;71,2;77,5
R7;93,5;0,0;81,5;89,0
R8;93,6;0,0;61,4;77,0
R9;91,2;0,0;-10,2;36,5
R10;86,8;0,0;50,0;61,2
R11;94,0;0,0;56,8;74,9
R12;90,8;0,0;45,2;52,8
R13;96,3;0,0;67,7;80,4
R14;94,8;0,0;93,0;91,7
R15;97,2;0,0;54,2;73,3
Ra;94,50;0,00;71,16;81,23
DC;1,8E-03;0,0E+00;3,9E-02;2,0E-02
;;;;
PAR;;;;
Begin [nm];400;400;400;400
End [nm];700;700;700;700
Ephot (Begin..End) [umol/s sqm];4,11610E+01;4,70835E+00;7,67453E+00;1,54167E+01
;;;;
Circadian;;;;
Lec [W/sr*sqm];2,738;0,565;0,279;0,300
acv;0,756;1,879;0,324;0,199
CCT [K];5010;0;4114;2956
;;;;
LED Values;;;;
Peak WL [nm];501,0;801,0;536,0;802,0
Peak FWHM [nm];241,4;24,6;183,9;25,0
Centroid WL [nm];657,6;737,7;711,4;722,0
;;;;
RGB Values;;;;
RGB Space;manual;manual;manual;manual
R;2435,3;93,9;561,8;1466,4
G;2487,5;225,9;600,3;948,9
B;1990,6;483,9;119,8;110,0
;;;;
Ratio Values;;;;
Wavelength Range Dividend [nm];380 - 400;380 - 400;380 - 400;380 - 400
Wavelength Range Divisor [nm];400 - 420;400 - 420;400 - 420;400 - 420
Ratio Value;0,8279;0,4943;0,7022;0,7612
;;;;
;;;;
Wavelength [nm];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)]
300;-2,76071E-05;1,35609E-05;-7,72961E-06;8,84759E-06
301;4,08013E-05;1,42573E-05;1,23748E-05;1,52427E-05
302;7,50717E-05;4,14660E-06;7,32399E-06;-8,07127E-06
303;-2,68367E-06;1,15951E-05;7,01691E-06;3,98114E-05
304;5,44662E-05;8,64713E-06;-1,22667E-05;-2,80057E-05
305;8,33036E-05;-1,93967E-06;1,46401E-05;-9,96586E-06
306;3,47593E-05;1,97677E-06;3,98981E-06;8,51590E-06
307;3,49866E-05;1,35478E-05;4,08347E-06;1,26857E-05
308;2,10721E-05;4,07659E-06;-1,74134E-05;2,68230E-05
309;2,40191E-05;9,59452E-06;-8,60381E-07;2,87614E-05
310;3,97366E-05;4,06394E-07;-1,66190E-06;-2,09204E-05
311;5,55027E-05;-1,18860E-06;1,03571E-05;-9,98181E-06
312;5,73354E-05;4,59088E-06;-1,00392E-06;1,46737E-05
313;1,82517E-05;1,23663E-06;7,32728E-06;1,49068E-05
314;6,06597E-05;3,74796E-06;-1,38019E-05;4,62155E-06
315;2,74210E-06;6,16069E-06;-5,06169E-06;-4,01986E-05
316;3,44590E-05;6,62598E-06;-1,77014E-06;-1,42175E-05
317;3,39158E-07;-1,14717E-06;-6,36106E-06;-1,24178E-05
318;8,63537E-05;-5,96610E-06;7,45365E-06;1,45282E-05
319;4,31947E-05;6,52653E-07;2,94035E-06;2,41598E-05
320;8,70963E-06;2,45472E-05;-1,05836E-05;9,28360E-06
321;2,38411E-05;3,66901E-06;1,90211E-05;3,38498E-05
322;2,67390E-05;8,31507E-06;4,29358E-06;6,14064E-06
323;1,88104E-05;1,65990E-05;1,27107E-07;7,41032E-06
324;2,58862E-05;8,01431E-06;-9,68218E-06;9,17636E-06
325;-1,19337E-05;1,09588E-06;1,90518E-06;-8,44649E-06
326;6,83151E-05;1,25722E-05;1,92102E-06;-3,38391E-05
327;5,05545E-05;1,07312E-05;8,48299E-06;2,09122E-05
328;-2,22375E-05;7,18150E-06;-3,93365E-06;-9,73148E-06
329;-7,02061E-06;1,15068E-05;1,72934E-06;-1,05582E-05
330;3,11703E-05;3,51493E-06;-3,40628E-06;2,00791E-06
331;1,21633E-05;-4,88698E-06;-5,04163E-06;-4,23283E-06
332;1,55052E-05;2,48421E-06;8,72827E-07;-2,43221E-05
333;6,21741E-05;1,29626E-05;6,23578E-06;3,60740E-06
334;1,69523E-05;-1,31096E-06;-1,33642E-06;2,96040E-05
335;-2,35444E-06;-2,80501E-06;8,20524E-06;3,65197E-05
336;9,72752E-06;9,73433E-06;-1,87758E-05;2,44153E-05
337;4,84296E-05;1,18182E-05;1,26964E-06;3,19473E-05
338;3,89114E-05;-7,41204E-06;4,30183E-06;-6,80352E-06
339;2,97622E-05;6,16241E-06;1,00766E-05;3,55575E-06
340;-4,76938E-05;2,98959E-05;-3,17086E-07;-1,97466E-06
341;2,95582E-06;-3,03517E-06;1,07311E-06;1,41548E-05
342;1,07253E-04;2,18520E-05;5,82121E-08;9,52699E-06
343;4,40761E-05;7,17327E-06;1,31454E-06;-5,49223E-06
344;1,15233E-05;1,85314E-05;7,64502E-06;-9,85856E-07
345;3,87028E-06;1,92449E-05;4,89427E-06;-7,17238E-06
346;1,00195E-05;5,86028E-06;2,93281E-06;-6,73065E-06
347;4,93736E-05;-9,68948E-06;-3,73967E-06;1,97639E-05
348;1,21505E-04;4,82114E-06;7,63122E-06;2,18595E-05
349;9,41330E-06;1,49246E-05;6,38509E-06;3,03914E-06
350;8,21341E-05;1,41027E-05;-2,07224E-06;1,84227E-05
351;9,18495E-05;9,92761E-06;-1,28851E-05;6,13446E-06
352;1,10658E-04;1,36297E-05;5,98038E-06;9,65613E-06
353;-1,27042E-05;1,56250E-05;7,32462E-06;1,26920E-05
354;5,32862E-05;1,83136E-05;-8,83917E-07;-1,56229E-05
355;-1,58412E-05;1,46199E-05;-1,52327E-05;3,88210E-05
356;5,06884E-05;6,57895E-06;-1,68747E-06;6,55216E-06
357;3,11047E-05;2,16247E-05;-4,76202E-06;6,69508E-06
358;9,35776E-05;8,70602E-06;9,08181E-07;-1,46631E-05
359;5,97891E-05;1,23187E-05;-4,87162E-07;-3,48192E-05
360;7,21863E-05;-9,79802E-07;7,66903E-06;-2,60935E-06
361;9,27910E-06;9,68409E-06;-1,98300E-07;-7,29897E-06
362;9,81291E-05;1,03290E-05;9,94702E-06;1,64314E-05
363;1,30360E-04;2,02364E-05;1,30534E-06;1,91384E-05
364;1,45630E-04;1,45115E-05;-6,04158E-06;2,94617E-05
365;5,72795E-05;9,23907E-06;1,06725E-05;2,58628E-05
366;9,49102E-05;-7,83834E-06;7,53312E-06;2,51518E-05
367;9,41575E-05;1,92712E-05;1,83551E-05;-2,43868E-06
368;1,19435E-04;1,10668E-05;2,41850E-06;3,25969E-05
369;6,02495E-05;1,58792E-05;4,49293E-06;4,40033E-06
370;1,39847E-04;2,33005E-05;-3,59635E-06;1,25406E-05
371;1,69939E-04;3,16684E-05;4,51864E-06;1,65460E-05
372;2,07983E-04;1,92185E-05;1,43446E-05;1,99217E-05
373;2,74875E-04;2,39062E-05;1,04774E-05;5,86247E-06
374;3,91628E-04;1,80589E-05;1,48169E-05;6,99425E-06
375;5,19590E-04;4,72283E-05;8,94627E-06;2,76339E-05
376;6,88688E-04;5,53589E-05;2,15236E-05;3,29747E-05
377;1,00021E-03;8,51787E-05;3,78856E-05;5,14423E-05
378;1,42574E-03;1,01089E-04;3,92914E-05;4,60764E-05
379;2,02469E-03;1,29479E-04;5,14788E-05;6,01222E-05
380;2,67487E-03;1,87635E-04;5,69216E-05;5,67538E-05
381;3,60764E-03;2,47556E-04;8,35028E-05;1,08990E-04
382;4,67938E-03;3,14159E-04;1,25037E-04;1,63763E-04
383;5,70958E-03;3,92757E-04;1,37074E-04;1,74560E-04
384;6,61581E-03;4,62810E-04;1,60472E-04;2,19953E-04
385;7,20359E-03;5,28033E-04;1,83164E-04;2,27995E-04
386;7,46288E-03;5,68370E-04;2,04251E-04;2,56172E-04
387;7,42378E-03;5,88503E-04;1,95233E-04;2,31303E-04
388;7,23350E-03;5,75511E-04;2,01252E-04;2,26829E-04
389;7,04933E-03;5,86282E-04;1,97129E-04;2,05125E-04
390;6,73953E-03;5,93523E-04;1,88295E-04;2,19023E-04
391;6,72741E-03;6,18672E-04;1,94662E-04;2,24853E-04
392;6,83496E-03;6,45435E-04;1,97579E-04;2,28886E-04
393;7,13878E-03;6,87904E-04;2,18383E-04;2,25872E-04
394;7,40762E-03;7,52263E-04;2,18842E-04;2,48658E-04
395;7,70999E-03;8,13484E-04;2,44587E-04;2,53317E-04
396;8,12691E-03;8,79767E-04;2,56531E-04;2,97163E-04
397;8,41559E-03;9,42686E-04;2,71594E-04;3,08732E-04
398;9,02441E-03;1,03582E-03;2,88014E-04;3,05906E-04
399;9,28233E-03;1,12664E-03;2,92224E-04;3,21859E-04
400;9,81506E-03;1,20925E-03;3,13661E-04;3,38000E-04
401;1,02367E-02;1,27743E-03;3,44501E-04;3,65606E-04
402;1,06701E-02;1,35422E-03;3,65126E-04;3,76213E-04
403;1,08860E-02;1,44171E-03;3,53740E-04;3,91221E-04
404;1,10248E-02;1,47435E-03;3,54142E-04;3,74854E-04
405;1,08820E-02;1,50544E-03;3,59245E-04;3,75780E-04
406;1,04356E-02;1,45296E-03;3,53735E-04;3,57453E-04
407;9,75934E-03;1,39877E-03;3,19150E-04;3,49308E-04
408;9,03391E-03;1,35140E-03;2,95699E-04;3,15386E-04
409;8,25922E-03;1,27169E-03;2,70410E-04;3,23796E-04
410;7,56836E-03;1,20366E-03;2,56382E-04;2,61358E-04
411;6,97793E-03;1,13962E-03;2,36771E-04;2,75146E-04
412;6,71262E-03;1,12701E-03;2,30478E-04;2,43508E-04
413;6,53416E-03;1,08867E-03;2,29613E-04;2,41749E-04
414;6,32551E-03;1,11312E-03;2,20828E-04;2,49023E-04
415;6,42757E-03;1,15497E-03;2,17001E-04;2,34080E-04
416;6,58482E-03;1,22802E-03;2,37646E-04;2,44410E-04
417;6,99881E-03;1,33312E-03;2,46236E-04;2,50168E-04
418;7,34683E-03;1,44506E-03;2,63741E-04;2,65523E-04
419;7,89954E-03;1,56108E-03;2,84687E-04;2,89000E-04
420;8,80521E-03;1,78600E-03;3,22897E-04;3,02750E-04
421;9,74242E-03;1,98669E-03;3,37939E-04;3,70988E-04
422;1,08632E-02;2,24969E-03;3,86591E-04;3,92517E-04
423;1,21091E-02;2,54506E-03;4,40806E-04;4,21576E-04
424;1,32649E-02;2,84390E-03;4,86516E-04;4,64052E-04
425;1,48445E-02;3,19570E-03;5,33302E-04;5,25332E-04
426;1,60021E-02;3,53258E-03;5,92713E-04;5,66542E-04
427;1,69830E-02;3,82449E-03;6,17806E-04;6,03973E-04
428;1,77325E-02;4,03600E-03;6,59682E-04;6,52593E-04
429;1,82911E-02;4,21469E-03;6,72459E-04;6,45931E-04
430;1,85277E-02;4,33970E-03;6,78334E-04;6,79715E-04
431;1,89143E-02;4,43099E-03;6,96245E-04;6,54236E-04
432;1,84738E-02;4,46954E-03;6,80318E-04;6,57261E-04
433;1,83199E-02;4,46790E-03;6,69865E-04;6,64647E-04
434;1,85015E-02;4,56937E-03;6,79231E-04;6,70598E-04
435;1,87105E-02;4,70859E-03;6,85671E-04;6,82449E-04
436;1,90614E-02;4,86464E-03;6,97210E-04;6,80765E-04
437;1,98429E-02;5,07554E-03;7,17603E-04;7,04595E-04
438;2,07612E-02;5,39301E-03;7,53439E-04;7,66309E-04
439;2,18006E-02;5,76062E-03;7,97673E-04;8,10075E-04
440;2,31713E-02;6,10553E-03;8,66084E-04;8,50851E-04
441;2,42995E-02;6,48010E-03;9,05252E-04;8,96036E-04
442;2,55379E-02;6,87441E-03;9,63266E-04;9,62933E-04
443;2,68357E-02;7,22712E-03;1,00313E-03;9,90793E-04
444;2,79533E-02;7,49143E-03;1,04684E-03;1,03110E-03
445;2,87914E-02;7,77598E-03;1,06883E-03;1,05822E-03
446;2,92960E-02;7,95660E-03;1,13645E-03;1,09345E-03
447;2,95625E-02;8,08873E-03;1,14763E-03;1,13972E-03
448;2,99222E-02;8,17795E-03;1,17738E-03;1,13025E-03
449;3,04067E-02;8,28513E-03;1,21688E-03;1,16489E-03
450;3,03788E-02;8,33050E-03;1,22944E-03;1,15383E-03
451;3,07450E-02;8,37147E-03;1,26088E-03;1,20701E-03
452;3,10148E-02;8,43737E-03;1,29306E-03;1,22171E-03
453;3,09551E-02;8,43965E-03;1,33730E-03;1,23193E-03
454;3,11659E-02;8,46285E-03;1,35962E-03;1,23703E-03
455;3,10294E-02;8,43795E-03;1,38809E-03;1,24734E-03
456;3,09578E-02;8,34454E-03;1,38325E-03;1,25280E-03
457;3,07810E-02;8,32679E-03;1,43021E-03;1,28460E-03
458;3,04975E-02;8,24238E-03;1,40849E-03;1,27432E-03
459;3,02753E-02;8,14400E-03;1,40782E-03;1,26577E-03
460;3,02095E-02;8,09091E-03;1,45117E-03;1,29074E-03
461;3,01090E-02;8,06166E-03;1,46983E-03;1,31409E-03
462;3,02854E-02;8,07177E-03;1,50816E-03;1,34539E-03
463;3,08174E-02;8,19324E-03;1,55280E-03;1,35271E-03
464;3,15939E-02;8,33915E-03;1,60661E-03;1,42301E-03
465;3,29136E-02;8,57024E-03;1,69642E-03;1,49014E-03
