;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow;L1_White;L1_Blue;L1_Skin;L1_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;09:23:14;09:25:54;09:31:56;09:34:22;09:45:08;09:47:48;09:49:18;09:49:34;09:59:28;10:00:28;10:00:42;10:00:59
T_int [ms];5,00;16,00;12,00;5,00;5,00;40,00;25,00;13,00;5,00;40,00;18,00;12,00
;;;;;;;;;;;;
Lv [cd/sqm];6,180E+03;6,464E+02;1,661E+03;3,565E+03;3,406E+03;2,780E+02;7,366E+02;1,636E+03;1,282E+03;1,177E+02;2,737E+02;5,839E+02
Le [W/(sr*sqm)] (380-780nm);2,740E+01;4,864E+00;9,095E+00;1,384E+01;1,473E+01;1,967E+00;4,040E+00;6,512E+00;4,838E+00;6,141E-01;1,222E+00;1,896E+00
CCT [K];5337;0;3124;3022;4525;23208;2783;2885;7272;0;4382;3827
DWl [nm];564,9;472,2;589,6;577,9;575,3;472,6;587,8;578,8;503,3;482,1;575,3;571,3
PE [%];3,9;44,9;32,5;80,2;18,6;33,2;45,7;83,9;13,5;48,9;22,7;73,6
;;;;;;;;;;;;
Chrom. Coord.;;;;;;;;;;;;
x;0,3363;0,2367;0,4113;0,4660;0,3608;0,2615;0,4380;0,4770;0,2889;0,2106;0,3668;0,4215
y;0,3434;0,2145;0,3636;0,4674;0,3677;0,2464;0,3807;0,4685;0,3716;0,2476;0,3754;0,4896
u';0,2086;0,1856;0,2516;0,2428;0,2157;0,1925;0,2618;0,2488;0,1680;0,1518;0,2167;0,2099
v';0,4793;0,3785;0,5003;0,5479;0,4946;0,4081;0,5120;0,5499;0,4860;0,4015;0,4990;0,5486
;;;;;;;;;;;;
CIE XYZ;;;;;;;;;;;;
X;6051;713;1879;3555;3342;295,0;847,4;1666;997;100,1;267,4;502,6
Y;6180;646;1661;3565;3406;278,0;736,6;1636;1282;117,7;273,7;583,9
Z;5764;1653;1028;509;2515;555,0;350,6;190;1171;257,5;187,9;106,0
;;;;;;;;;;;;
CIE 13.3-1995 CRI;;;;;;;;;;;;
Ref. Illum.;Daylight 5000-7000K;CRI not calculated!;Planckian radiator;Planckian radiator;Planckian radiator;Daylight >7000K;Planckian radiator;Planckian radiator;Daylight >7000K;CRI not calculated!;Planckian radiator;Planckian radiator
CCT [K];5337;0;3124;3022;4525;23208;2783;2885;7272;0;4382;3827
R1;94,6;0,0;73,3;82,1;98,8;66,9;79,5;80,9;94,3;0,0;63,8;87,2
R2;95,1;0,0;76,1;83,2;98,3;74,1;81,0;82,2;82,7;0,0;67,0;80,9
R3;95,5;0,0;78,0;85,7;98,0;82,7;81,9;84,1;75,2;0,0;71,6;76,2
R4;94,7;0,0;73,7;83,8;97,1;72,5;79,2;81,7;62,5;0,0;61,9;71,0
R5;94,1;0,0;67,3;79,3;98,3;73,1;73,8;77,3;88,0;0,0;61,4;82,7
R6;92,5;0,0;60,3;77,9;97,6;76,0;66,6;75,3;81,4;0,0;59,1;75,0
R7;97,3;0,0;92,5;93,2;96,2;84,5;92,9;92,5;66,5;0,0;69,5;73,6
R8;98,5;0,0;85,6;78,1;95,9;66,1;91,3;78,1;75,5;0,0;43,1;81,8
R9;96,9;0,0;56,7;36,7;93,4;-25,8;72,7;37,3;82,6;0,0;-47,7;90,1
R10;88,0;0,0;41,3;62,0;96,2;40,4;53,6;58,9;62,9;0,0;17,3;61,8
R11;90,5;0,0;58,1;79,9;97,8;70,8;65,2;76,4;76,4;0,0;53,7;75,0
R12;90,4;0,0;32,0;52,9;89,5;71,6;42,9;47,1;71,2;0,0;41,1;50,3
R13;93,9;0,0;70,8;81,3;98,1;66,8;76,9;79,9;83,8;0,0;58,7;84,9
R14;97,3;0,0;87,6;92,0;98,7;89,1;89,9;90,9;85,1;0,0;82,9;87,9
R15;96,8;0,0;77,2;74,4;97,1;59,1;84,3;74,3;75,7;0,0;62,3;73,3
Ra;95,30;0,00;75,86;82,90;97,54;74,48;80,78;81,51;78,26;0,00;62,19;78,53
DC;3,6E-03;0,0E+00;1,3E-02;1,9E-02;2,0E-03;1,4E-02;9,6E-03;1,8E-02;3,1E-02;0,0E+00;3,4E-03;3,5E-02
;;;;;;;;;;;;
PAR;;;;;;;;;;;;
Begin [nm];400;400;400;400;400;400;400;400;400;400;400;400
End [nm];700;700;700;700;700;700;700;700;700;700;700;700
Ephot (Begin..End) [umol/s sqm];1,06674E+02;1,54794E+01;3,33785E+01;5,37224E+01;5,76189E+01;6,19039E+00;1,48836E+01;2,52839E+01;2,23200E+01;2,69905E+00;5,92967E+00;9,36985E+00
;;;;;;;;;;;;
Circadian;;;;;;;;;;;;
Lec [W/sr*sqm];7,456;1,864;1,486;1,137;3,374;0,642;0,531;0,451;1,810;0,346;0,311;0,259
acv;0,824;1,969;0,611;0,218;0,676;1,577;0,492;0,188;0,964;2,010;0,775;0,303
CCT [K];5337;0;3124;3022;4525;23208;2783;2885;7272;0;4382;3827
;;;;;;;;;;;;
LED Values;;;;;;;;;;;;
Peak WL [nm];501,0;805,0;806,0;806,0;593,0;804,0;804,0;804,0;656,0;471,0;657,0;656,0
Peak FWHM [nm];260,3;29,9;31,2;30,3;253,7;26,4;26,7;26,3;18,7;20,9;18,6;18,7
Centroid WL [nm];654,3;729,6;730,4;721,1;662,7;742,9;732,9;719,3;552,7;526,6;582,0;592,5
;;;;;;;;;;;;
RGB Values;;;;;;;;;;;;
RGB Space;manual;manual;manual;manual;manual;manual;manual;manual;manual;manual;manual;manual
R;6070,6;331,0;2476,4;4979,8;3673,9;188,0;1181,1;2387,2;658,3;10,2;299,2;616,2
G;6209,6;701,2;1493,0;3300,0;3359,9;293,8;645,4;1492,8;1418,9;139,1;269,3;583,3
B;5758,1;1662,6;1023,1;479,8;2505,2;557,6;347,5;176,8;1168,5;258,6;187,0;101,1
;;;;;;;;;;;;
Ratio Values;;;;;;;;;;;;
Wavelength Range Dividend [nm];380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400
Wavelength Range Divisor [nm];400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420
Ratio Value;0,8763;0,5150;0,6296;0,8656;1,0319;0,6353;0,7834;1,0600;0,4680;0,5630;0,7823;1,6545
;;;;;;;;;;;;
;;;;;;;;;;;;
Wavelength [nm];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)]
300;7,51697E-05;-3,06294E-05;3,95490E-05;9,24876E-05;-1,85064E-04;-9,05781E-06;-1,09777E-06;4,46615E-05;-5,78921E-05;-2,38422E-06;-1,07224E-05;1,39449E-05
301;6,89075E-05;-5,70744E-05;3,25388E-05;-1,34548E-04;-5,39154E-05;3,65893E-05;-2,30720E-06;-1,48188E-04;-9,36527E-05;-1,24507E-06;-3,32553E-05;9,51294E-05
302;6,87730E-05;1,60015E-05;9,49496E-05;-2,16182E-05;3,85052E-05;-5,73014E-06;6,24986E-05;3,92102E-05;1,95702E-04;5,02624E-06;6,05619E-05;-5,47009E-05
303;-7,95910E-05;3,78830E-05;-5,35295E-05;1,53543E-05;-7,17520E-05;2,72361E-05;3,20050E-05;-1,09567E-05;2,42159E-05;-1,53854E-05;4,71869E-05;-3,50109E-05
304;2,63189E-04;-3,56977E-05;9,95623E-05;-4,37887E-05;-5,08359E-06;1,66539E-05;1,71210E-05;1,94366E-05;6,12937E-05;1,12074E-05;-6,37607E-06;-7,57872E-05
305;-1,86428E-05;7,31603E-05;-5,36904E-05;1,34581E-04;1,72296E-04;2,27158E-05;-4,45377E-05;-9,17554E-06;-2,11195E-05;-3,88191E-06;-3,22261E-06;7,54584E-05
306;9,52772E-05;2,39316E-05;-1,32785E-05;1,35297E-04;9,12220E-05;-2,82775E-06;-1,07112E-05;7,26815E-05;-1,98055E-05;1,15186E-05;1,76263E-05;1,94878E-05
307;-7,71726E-05;-3,99351E-05;-5,42162E-05;4,03779E-05;1,56150E-04;1,79744E-05;2,32980E-05;-3,08493E-05;-1,83542E-05;-1,13943E-05;2,22595E-05;3,05692E-05
308;6,68317E-05;2,83462E-05;-4,96839E-05;-2,06704E-04;2,92568E-05;-7,19848E-06;4,75652E-06;8,99748E-06;-9,46282E-05;-8,88819E-06;-1,55955E-05;2,91587E-05
309;-3,59284E-05;6,63142E-05;3,24317E-05;1,51956E-04;9,08681E-05;1,39835E-05;3,29390E-06;-3,44778E-06;-1,16936E-04;-1,54154E-05;-1,68893E-05;-1,20781E-04
310;2,55949E-05;-8,83945E-06;1,04068E-05;1,29050E-04;-1,44830E-04;-3,47433E-06;4,02538E-06;-3,46343E-05;8,88546E-05;-9,04642E-08;-7,26038E-05;-6,63237E-05
311;1,38250E-04;1,30713E-06;-4,88547E-06;8,85650E-05;-2,95100E-05;-8,27453E-06;3,10615E-05;7,49132E-05;1,08721E-04;2,24549E-05;3,81273E-05;-1,16509E-04
312;1,65049E-04;6,05436E-06;9,84183E-06;4,33272E-05;9,85275E-05;-1,22816E-05;3,89965E-06;2,77019E-05;1,80932E-04;-2,32766E-05;-4,03955E-05;1,68855E-06
313;2,05470E-04;-2,97572E-05;-2,48670E-05;1,04972E-04;9,61605E-05;7,24226E-06;-1,95013E-05;3,07924E-05;-3,66211E-05;4,56063E-06;-6,48222E-05;-1,69567E-05
314;1,20720E-04;1,49688E-05;-3,13852E-05;-2,47307E-05;8,47654E-06;3,77106E-05;2,11351E-05;1,07863E-05;1,78759E-04;-1,76568E-06;-6,36810E-05;-1,66380E-05
315;5,85715E-05;3,01943E-05;5,57448E-05;1,33238E-04;-1,10326E-04;3,61612E-07;-4,33191E-06;1,43057E-05;2,82668E-05;7,54147E-06;8,76858E-06;-6,96385E-05
316;2,21237E-04;2,83264E-05;-4,18965E-05;3,24330E-05;2,18296E-04;2,12573E-05;3,33938E-05;9,91240E-06;1,60031E-04;3,70515E-05;-8,60123E-05;5,23572E-05
317;-1,84385E-04;2,66278E-05;3,73948E-05;8,67851E-05;1,16308E-04;-2,85213E-05;1,71878E-05;2,55656E-05;-2,40072E-04;5,33108E-06;9,40048E-06;2,22133E-05
318;2,39538E-04;2,08024E-05;6,69599E-05;-3,34120E-05;-8,91253E-05;1,37964E-05;1,12092E-05;5,41005E-05;-5,79405E-06;1,93469E-05;-5,35125E-05;4,64181E-05
319;-4,25367E-05;3,25130E-05;-5,74370E-06;-4,76947E-05;1,18214E-04;8,76113E-06;2,27392E-05;-1,16837E-05;-1,39026E-04;1,25547E-05;-1,03986E-05;2,98958E-05
320;-7,47534E-05;2,65324E-05;-1,24787E-05;-8,69614E-06;-4,31144E-05;9,13812E-06;-1,01598E-05;-3,12476E-05;3,49720E-05;6,37128E-06;-5,33637E-06;1,62180E-05
321;8,68974E-05;7,34662E-05;-8,88781E-05;-2,89705E-04;4,85025E-05;-4,84345E-06;-1,22815E-05;1,80247E-05;6,03259E-05;-1,79927E-05;1,32077E-05;-3,18431E-05
322;1,46488E-05;-7,66731E-05;3,60971E-05;-2,01291E-04;1,67268E-04;4,08376E-05;-3,18203E-05;-1,10525E-05;1,04819E-04;2,64150E-05;1,59263E-05;-5,73704E-05
323;4,46606E-05;1,22586E-05;1,68676E-05;1,49165E-05;-1,28616E-05;2,72498E-05;2,06209E-05;3,00684E-05;-2,68627E-04;3,01661E-06;5,38594E-05;-2,27916E-05
324;1,85844E-04;2,83136E-05;6,36949E-05;4,04027E-05;5,07579E-06;1,39876E-05;4,27145E-06;-5,95969E-05;2,35959E-05;-1,08975E-05;6,26573E-06;-1,55970E-05
325;-4,95566E-05;-2,16161E-05;-7,43817E-05;-9,27360E-05;1,42450E-04;2,17961E-05;7,73550E-06;6,27484E-06;-1,04076E-04;1,08107E-05;-5,33991E-05;-3,31918E-05
326;-8,17535E-05;-2,45285E-05;7,03442E-05;4,56301E-05;1,08036E-04;9,62211E-06;5,80384E-06;4,41941E-06;-1,00275E-04;1,02407E-05;-4,44703E-05;6,67651E-05
327;2,61635E-05;3,83299E-06;-5,60618E-05;-1,64772E-04;5,53932E-05;1,26950E-05;2,48297E-06;-4,18561E-05;-3,32267E-05;-8,48304E-06;-3,74985E-07;3,15252E-05
328;1,87983E-05;2,70990E-05;6,85061E-06;3,39595E-05;-3,06321E-05;6,02289E-06;-2,81910E-05;4,70519E-05;-3,32288E-05;7,64143E-06;-3,38095E-05;-6,60914E-06
329;-7,97200E-05;2,00253E-05;-5,26441E-06;9,25200E-06;1,28398E-04;2,33290E-05;1,72324E-05;8,46449E-06;7,91856E-05;7,60120E-06;-1,52778E-05;1,50403E-05
330;-7,70792E-05;7,49307E-05;4,44738E-05;-4,64230E-05;1,45832E-04;2,32581E-05;-5,42419E-05;7,24856E-05;3,16926E-05;6,00009E-06;6,13817E-05;-1,86139E-05
331;2,44117E-04;3,28924E-05;-1,04894E-05;2,12843E-04;1,83854E-05;3,09524E-05;1,79705E-05;-7,87281E-05;3,66170E-05;-7,48811E-06;-3,10282E-05;7,18600E-05
332;6,90244E-05;6,00593E-05;1,12557E-06;-1,22411E-04;-8,24429E-05;3,27190E-05;2,18883E-05;4,86574E-06;-4,39348E-05;4,95006E-06;5,76559E-05;2,52095E-06
333;-1,24385E-04;1,88238E-05;1,25017E-04;-8,80420E-05;-1,92572E-05;3,77892E-05;2,97570E-05;-1,54523E-05;2,04651E-04;3,10386E-05;6,25644E-05;5,71414E-05
334;-4,10106E-06;4,33955E-07;-3,91879E-05;1,50151E-04;-1,03906E-05;1,29199E-05;3,85238E-05;-2,92601E-06;3,46026E-05;1,78207E-05;-4,98725E-05;-3,83949E-05
335;8,82443E-05;-5,90222E-05;-6,17675E-05;-3,79571E-05;-3,27610E-05;6,02974E-06;5,13051E-05;3,57955E-05;-4,83431E-05;2,06318E-06;3,19510E-07;4,93124E-05
336;6,78508E-05;7,95133E-05;9,11000E-05;2,19037E-04;1,17340E-04;3,41310E-05;-2,62089E-05;3,11269E-05;9,62681E-05;-9,64606E-06;-1,84915E-05;-4,20737E-05
337;1,70397E-04;6,31432E-05;2,39474E-05;6,66814E-05;9,40273E-07;1,25603E-05;8,40710E-06;6,91981E-05;-5,88303E-05;1,06428E-05;2,82958E-07;2,56848E-05
338;7,11698E-05;1,02169E-05;-1,54012E-05;5,95171E-05;1,01839E-04;5,03505E-06;2,06472E-05;2,70268E-05;-4,91082E-05;5,63141E-06;3,17969E-05;-3,03155E-05
