;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune;D50_white;D50_blue;D50_vert;D50_jaune;L1_white;L1_blue;L1_vert;L1_yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;11:40:26;11:41:57;11:43:45;11:44:28;11:48:22;11:52:42;11:53:05;11:53:19;11:59:03;12:00:44;12:01:06;12:02:04
T_int [ms];10,00;50,00;50,00;22,00;12,00;50,00;43,00;21,00;5,00;32,00;25,00;5,00
;;;;;;;;;;;;
Lv [cd/sqm];2,473E+03;2,054E+02;5,883E+02;1,031E+03;2,057E+03;1,912E+02;6,014E+02;1,047E+03;8,548E+02;8,559E+01;1,998E+02;4,037E+02
Le [W/(sr*sqm)] (380-780nm);1,027E+01;1,460E+00;1,875E+00;3,823E+00;8,566E+00;1,378E+00;1,977E+00;4,091E+00;4,895E+00;6,854E-01;8,836E-01;2,067E+00
CCT [K];5010;0;4114;2956;4322;27300;3889;2827;0;0;2166;1575
DWl [nm];568,6;475,2;569,0;578,2;575,7;473,3;570,7;579,1;-521,2;448,4;594,5;597,5
PE [%];12,4;43,0;69,0;83,9;23,8;34,5;73,6;86,2;34,1;54,4;53,7;78,6
;;;;;;;;;;;;
Chrom. Coord.;;;;;;;;;;;;
x;0,3458;0,2369;0,4049;0,4734;0,3691;0,2581;0,4185;0,4826;0,3685;0,2380;0,4768;0,5548
y;0,3620;0,2282;0,4910;0,4723;0,3765;0,2444;0,4925;0,4705;0,2629;0,1609;0,3686;0,3733
u';0,2079;0,1799;0,2004;0,2453;0,2177;0,1905;0,2074;0,2513;0,2721;0,2138;0,2948;0,3484
v';0,4897;0,3901;0,5468;0,5505;0,4998;0,4061;0,5491;0,5513;0,4367;0,3250;0,5128;0,5274
;;;;;;;;;;;;
CIE XYZ;;;;;;;;;;;;
X;2362;213,2;485,1;1033;2016;201,8;511,1;1074;1198;126,6;258,5;600,0
Y;2473;205,4;588,3;1031;2057;191,2;601,4;1047;855;85,6;199,8;403,7
Z;1996;481,4;124,7;119;1390;389,1;108,7;104;1198;319,8;83,8;77,7
;;;;;;;;;;;;
CIE 13.3-1995 CRI;;;;;;;;;;;;
Ref. Illum.;Daylight 5000-7000K;CRI not calculated!;Planckian radiator;Planckian radiator;Planckian radiator;Daylight >7000K;Planckian radiator;Planckian radiator;CRI not calculated!;CRI not calculated!;Planckian radiator;Planckian radiator
CCT [K];5010;0;4114;2956;4322;27300;3889;2827;0;0;2166;1575
R1;97,7;0,0;67,6;81,4;98,3;68,0;67,0;80,1;0,0;0,0;89,6;76,7
R2;95,3;0,0;74,9;82,4;98,9;74,0;74,0;81,6;0,0;0,0;78,8;93,9
R3;91,5;0,0;84,3;84,6;97,6;80,9;84,2;83,5;0,0;0,0;43,2;58,1
R4;95,4;0,0;62,1;79,5;95,8;73,1;63,7;79,8;0,0;0,0;81,8;73,6
R5;96,6;0,0;66,4;78,4;97,4;74,1;64,9;76,4;0,0;0,0;90,1;92,4
R6;92,3;0,0;71,2;77,5;98,7;76,3;68,0;74,5;0,0;0,0;57,9;79,7
R7;93,5;0,0;81,5;89,0;95,3;83,8;84,4;90,9;0,0;0,0;63,6;74,3
R8;93,6;0,0;61,4;77,0;93,2;67,2;62,9;77,3;0,0;0,0;66,2;73,2
R9;91,2;0,0;-10,2;36,5;85,8;-23,1;-7,8;36,3;0,0;0,0;68,8;72,3
R10;86,8;0,0;50,0;61,2;97,6;39,3;45,4;57,8;0,0;0,0;38,5;70,1
R11;94,0;0,0;56,8;74,9;98,6;72,3;57,0;74,0;0,0;0,0;92,8;90,9
R12;90,8;0,0;45,2;52,8;87,0;71,8;37,1;45,9;0,0;0,0;-8,3;17,7
R13;96,3;0,0;67,7;80,4;98,8;67,5;67,0;79,1;0,0;0,0;94,2;87,2
R14;94,8;0,0;93,0;91,7;98,5;88,1;92,7;90,6;0,0;0,0;65,9;74,3
R15;97,2;0,0;54,2;73,3;94,6;60,3;55,2;73,4;0,0;0,0;80,8;73,9
Ra;94,50;0,00;71,16;81,23;96,89;74,67;71,14;80,51;0,00;0,00;71,40;77,74
DC;1,8E-03;0,0E+00;3,9E-02;2,0E-02;3,4E-03;1,2E-02;3,6E-02;1,9E-02;0,0E+00;0,0E+00;1,6E-02;9,2E-03
;;;;;;;;;;;;
PAR;;;;;;;;;;;;
Begin [nm];400;400;400;400;400;400;400;400;400;400;400;400
End [nm];700;700;700;700;700;700;700;700;700;700;700;700
Ephot (Begin..End) [umol/s sqm];4,11610E+01;4,70835E+00;7,67453E+00;1,54167E+01;3,40304E+01;4,25037E+00;7,96541E+00;1,61569E+01;2,36380E+01;3,08167E+00;4,44212E+00;1,07494E+01
;;;;;;;;;;;;
Circadian;;;;;;;;;;;;
Lec [W/sr*sqm];2,738;0,565;0,279;0,300;1,900;0,450;0,246;0,266;1,500;0,376;0,129;0,127
acv;0,756;1,879;0,324;0,199;0,631;1,609;0,279;0,174;1,199;3,001;0,443;0,215
CCT [K];5010;0;4114;2956;4322;27300;3889;2827;0;0;2166;1575
;;;;;;;;;;;;
LED Values;;;;;;;;;;;;
Peak WL [nm];501,0;801,0;536,0;802,0;802,0;802,0;802,0;802,0;657,0;471,0;657,0;658,0
Peak FWHM [nm];241,4;24,6;183,9;25,0;25,0;24,9;24,5;25,1;19,5;20,9;19,6;19,4
Centroid WL [nm];657,6;737,7;711,4;722,0;671,7;751,3;716,4;724,0;579,0;539,3;602,9;624,0
;;;;;;;;;;;;
RGB Values;;;;;;;;;;;;
RGB Space;manual;manual;manual;manual;manual;manual;manual;manual;manual;manual;manual;manual
R;2435,3;93,9;561,8;1466,4;2275,0;123,3;619,2;1554,3;1507,3;72,7;393,5;1022,6
G;2487,5;225,9;600,3;948,9;2018,8;203,2;604,2;949,4;708,8;85,2;159,4;274,0
B;1990,6;483,9;119,8;110,0;1382,9;390,9;103,5;95,4;1203,2;322,2;83,0;75,7
;;;;;;;;;;;;
Ratio Values;;;;;;;;;;;;
Wavelength Range Dividend [nm];380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400;380 - 400
Wavelength Range Divisor [nm];400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420;400 - 420
Ratio Value;0,8279;0,4943;0,7022;0,7612;1,0597;0,6269;0,9147;0,9961;0,5725;0,5482;0,5412;3,8942
;;;;;;;;;;;;
;;;;;;;;;;;;
Wavelength [nm];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)];Le [W/(sr*sqm*nm)]
300;-2,76071E-05;1,35609E-05;-7,72961E-06;8,84759E-06;3,80284E-05;8,68539E-06;-9,97040E-06;4,76146E-06;7,75219E-06;2,31579E-06;-8,88859E-06;-1,42175E-07
301;4,08013E-05;1,42573E-05;1,23748E-05;1,52427E-05;2,61267E-05;-8,99739E-07;5,30071E-06;-1,27814E-06;1,01360E-04;-3,92478E-06;-3,01015E-05;3,71326E-05
302;7,50717E-05;4,14660E-06;7,32399E-06;-8,07127E-06;5,17887E-05;1,27389E-05;-1,60329E-06;-1,15406E-05;1,85027E-05;4,13399E-07;-3,59240E-05;-5,79491E-05
303;-2,68367E-06;1,15951E-05;7,01691E-06;3,98114E-05;-3,55103E-05;7,75172E-06;-1,15423E-07;1,84923E-05;6,29550E-05;1,54706E-05;-9,13992E-06;1,78786E-04
304;5,44662E-05;8,64713E-06;-1,22667E-05;-2,80057E-05;2,63679E-05;2,74133E-06;-1,61303E-06;-2,70840E-05;-7,37122E-06;-1,09048E-05;-6,52976E-06;-4,20201E-05
305;8,33036E-05;-1,93967E-06;1,46401E-05;-9,96586E-06;6,39959E-07;2,93013E-06;1,76493E-05;1,71060E-05;2,84184E-05;-1,68853E-07;1,21725E-06;1,25732E-04
306;3,47593E-05;1,97677E-06;3,98981E-06;8,51590E-06;7,13983E-06;8,26279E-06;5,70155E-06;6,40928E-06;7,79708E-05;2,03792E-05;-1,69840E-06;3,52645E-06
307;3,49866E-05;1,35478E-05;4,08347E-06;1,26857E-05;8,59210E-06;1,27503E-05;1,39126E-05;-1,50302E-05;7,70183E-05;-1,91833E-06;1,15133E-05;-1,01829E-05
308;2,10721E-05;4,07659E-06;-1,74134E-05;2,68230E-05;1,30275E-05;1,11618E-05;-8,59724E-06;-4,04338E-05;-7,25020E-05;9,71957E-06;3,52809E-05;4,39025E-05
309;2,40191E-05;9,59452E-06;-8,60381E-07;2,87614E-05;9,69277E-06;5,42170E-07;1,73764E-05;-1,65411E-05;3,58706E-05;6,28130E-06;2,24579E-05;2,75153E-05
310;3,97366E-05;4,06394E-07;-1,66190E-06;-2,09204E-05;6,96902E-05;1,80442E-05;-1,35685E-06;1,71666E-05;-1,16938E-04;-2,87130E-06;-7,55526E-07;5,04825E-05
311;5,55027E-05;-1,18860E-06;1,03571E-05;-9,98181E-06;2,77726E-05;2,40062E-05;2,06597E-05;1,32437E-05;-8,09240E-05;2,67650E-05;-2,16267E-06;2,81860E-06
312;5,73354E-05;4,59088E-06;-1,00392E-06;1,46737E-05;8,75845E-05;-1,40026E-06;-1,68657E-05;2,73857E-05;8,61386E-05;-6,85076E-06;-8,28528E-06;-6,29703E-05
313;1,82517E-05;1,23663E-06;7,32728E-06;1,49068E-05;1,99228E-05;-7,47194E-06;1,52159E-05;-9,44137E-06;3,18947E-05;1,89669E-05;4,58154E-06;-7,24382E-05
314;6,06597E-05;3,74796E-06;-1,38019E-05;4,62155E-06;1,94741E-05;5,54376E-06;-1,14108E-05;2,20837E-05;3,98603E-05;-1,13231E-06;6,71839E-06;3,57131E-05
315;2,74210E-06;6,16069E-06;-5,06169E-06;-4,01986E-05;3,40923E-06;7,36619E-06;5,77952E-06;1,93640E-05;-1,59235E-05;1,89935E-06;-2,58288E-05;4,77892E-05
316;3,44590E-05;6,62598E-06;-1,77014E-06;-1,42175E-05;1,26136E-05;1,45555E-05;6,00904E-06;-1,23742E-05;2,39608E-05;3,52682E-05;2,10294E-05;8,89611E-05
317;3,39158E-07;-1,14717E-06;-6,36106E-06;-1,24178E-05;2,67914E-05;-6,50257E-06;-1,50731E-05;-1,79669E-05;-6,56016E-05;-1,04434E-05;-4,39775E-06;-1,65058E-06
318;8,63537E-05;-5,96610E-06;7,45365E-06;1,45282E-05;-3,84005E-05;1,15554E-05;1,80838E-05;1,05547E-05;1,07133E-05;-3,07920E-06;2,68010E-05;-1,42065E-04
319;4,31947E-05;6,52653E-07;2,94035E-06;2,41598E-05;-4,45522E-06;-2,41009E-06;1,17518E-05;1,72907E-05;1,36193E-05;4,76491E-06;1,32506E-05;-3,69585E-05
320;8,70963E-06;2,45472E-05;-1,05836E-05;9,28360E-06;-7,55582E-06;-4,64494E-06;8,63960E-06;4,36233E-05;3,04832E-05;6,76632E-06;-1,93991E-05;-1,31179E-05
321;2,38411E-05;3,66901E-06;1,90211E-05;3,38498E-05;4,88741E-06;1,00161E-05;2,29921E-06;-1,81460E-05;4,41944E-05;-2,78367E-05;-2,31294E-05;2,22896E-05
322;2,67390E-05;8,31507E-06;4,29358E-06;6,14064E-06;-7,84122E-07;3,52060E-06;-5,53982E-06;-3,38359E-05;-4,28153E-05;-6,09216E-07;1,25031E-05;-6,91632E-06
323;1,88104E-05;1,65990E-05;1,27107E-07;7,41032E-06;1,40007E-05;2,96155E-06;6,36251E-07;1,34655E-05;4,00862E-05;1,70921E-05;-1,00546E-05;1,41086E-04
324;2,58862E-05;8,01431E-06;-9,68218E-06;9,17636E-06;2,56469E-05;1,45914E-05;-1,05660E-05;1,27400E-05;1,44949E-05;5,49814E-06;7,96418E-06;8,16551E-06
325;-1,19337E-05;1,09588E-06;1,90518E-06;-8,44649E-06;4,69041E-05;1,36034E-05;2,16589E-05;-4,13861E-06;1,20772E-04;-1,59257E-05;-1,39796E-05;9,59006E-05
326;6,83151E-05;1,25722E-05;1,92102E-06;-3,38391E-05;4,60844E-05;6,47161E-06;2,97321E-07;3,61918E-05;-2,52752E-05;2,17195E-06;-3,21726E-05;-1,96293E-05
327;5,05545E-05;1,07312E-05;8,48299E-06;2,09122E-05;-3,45278E-05;-3,05470E-07;-1,04852E-05;-1,34369E-05;-2,54537E-05;-4,58811E-06;7,55162E-06;6,79552E-05
328;-2,22375E-05;7,18150E-06;-3,93365E-06;-9,73148E-06;9,78780E-06;7,24692E-06;9,67427E-06;-7,07509E-06;3,47287E-05;-1,58856E-05;5,89616E-06;-6,75824E-06
329;-7,02061E-06;1,15068E-05;1,72934E-06;-1,05582E-05;5,47101E-05;3,19058E-06;1,01594E-05;-1,87501E-05;9,36868E-05;3,21470E-05;1,74846E-06;-5,34448E-05
330;3,11703E-05;3,51493E-06;-3,40628E-06;2,00791E-06;3,96843E-05;-4,13021E-06;1,25574E-05;-2,39235E-05;-1,01197E-04;-3,64033E-06;3,59853E-06;6,02898E-05
331;1,21633E-05;-4,88698E-06;-5,04163E-06;-4,23283E-06;2,04806E-05;-9,25757E-06;2,93581E-06;9,60050E-06;-7,72569E-05;-1,77746E-05;8,99656E-06;-4,47314E-05
332;1,55052E-05;2,48421E-06;8,72827E-07;-2,43221E-05;2,54200E-05;6,79089E-06;3,69651E-06;-5,72508E-06;-8,64943E-05;-1,56611E-05;-2,76950E-05;1,27603E-04
333;6,21741E-05;1,29626E-05;6,23578E-06;3,60740E-06;5,04412E-05;4,48840E-06;-1,40151E-05;-3,48031E-05;-1,80043E-05;-2,04712E-06;-1,44951E-05;-5,17722E-05
334;1,69523E-05;-1,31096E-06;-1,33642E-06;2,96040E-05;4,16135E-05;2,63095E-06;1,66704E-06;-2,60765E-06;-3,40758E-05;1,05389E-05;1,13073E-06;1,04911E-04
335;-2,35444E-06;-2,80501E-06;8,20524E-06;3,65197E-05;6,34040E-05;4,11297E-06;1,39590E-05;3,49325E-06;-1,59120E-05;-2,28739E-06;-2,13493E-05;-5,01631E-05
336;9,72752E-06;9,73433E-06;-1,87758E-05;2,44153E-05;5,03106E-05;1,05864E-05;1,19446E-05;2,14330E-05;-3,31515E-05;2,27148E-05;1,35451E-05;-3,64079E-05
337;4,84296E-05;1,18182E-05;1,26964E-06;3,19473E-05;-3,23756E-06;1,00070E-05;2,03588E-08;-3,66309E-05;-8,57230E-06;7,61844E-06;-4,21680E-06;3,18712E-05
338;3,89114E-05;-7,41204E-06;4,30183E-06;-6,80352E-06;5,80240E-05;9,91814E-06;2,15712E-07;-9,12056E-06;8,08544E-05;-1,25785E-06;2,59269E-05;3,57732E-05
